add
('to', 0.8559690713882446)
('for', 0.8511167168617249)
('in', 0.8425812125205994)
('the', 0.8378121852874756)
('of', 0.8368180990219116)
('is', 0.8314609527587891)
('and', 0.8266115188598633)
('from', 0.8197859525680542)
('when', 0.8167974948883057)
('file', 0.8158066272735596)
('plugin', 0.8068801164627075)
('not', 0.7999024987220764)
('on', 0.7989680171012878)
('line', 0.795975923538208)
('with', 0.7946854829788208)
('Add', 0.7927529215812683)
('be', 0.7924840450286865)
('a', 0.7885937690734863)
('Fix', 0.7865465879440308)
('menu', 0.7841189503669739)
('as', 0.7838576436042786)
('class', 0.7836491465568542)
('window', 0.7806071043014526)
('are', 0.780382513999939)
('support', 0.7794430255889893)
('color', 0.778401792049408)
('type', 0.7729015350341797)
('that', 0.7714517116546631)
('console', 0.7691208124160767)
('python', 0.76781165599823)
('if', 0.7651828527450562)
('use', 0.7630718946456909)
('files', 0.7630456686019897)
('project', 0.7558945417404175)
('an', 0.7558179497718811)
('action', 0.7550491094589233)
('should', 0.7546098232269287)
('generated', 0.7541889548301697)
('parameter', 0.7537333965301514)
('by', 0.752759575843811)
('dialog', 0.7506048679351807)
('git', 0.7477152347564697)
('build', 0.746328592300415)
('added', 0.7462553977966309)
('work', 0.7455461621284485)
('Remove', 0.7452807426452637)
('method', 0.7411020994186401)
('default', 0.7399490475654602)
('name', 0.734154462814331)
('commit', 0.7298188209533691)
('tool', 0.7282130718231201)
('context', 0.727948784828186)
('option', 0.7254269123077393)
('test', 0.725122332572937)
('Added', 0.7223318815231323)
('custom', 0.7210906147956848)
('Allow', 0.7207044959068298)
('extension', 0.720137357711792)
('config', 0.716612696647644)
('-', 0.7148415446281433)
('code', 0.7134147882461548)
('after', 0.7118488550186157)
('new', 0.7098115086555481)
('fix', 0.7094740271568298)
('instead', 0.7080639600753784)
('ability', 0.7049293518066406)
('command', 0.7031686305999756)
('one', 0.7027593851089478)
('Ant', 0.7004937529563904)
('make', 0.6995687484741211)
('Gradle', 0.699254035949707)
('classes', 0.6991546750068665)
("Don't", 0.6983630657196045)
('point', 0.6983283162117004)
('Fixed', 0.6967977285385132)
('[Fernflower]', 0.6921094655990601)
('import', 0.6907132863998413)
('Change', 0.6872704029083252)
('Python', 0.6864719390869141)
('error', 0.6860560774803162)
('Support', 0.6859368085861206)
('than', 0.6850361824035645)
('settings', 0.6848549842834473)
('relative', 0.6824811100959778)
('using', 0.6773179769515991)
('branch', 0.6759700179100037)
('allow', 0.6756539940834045)
('mode', 0.6692050695419312)
('always', 0.6691233515739441)
('more', 0.668776273727417)
('Build', 0.6653457880020142)
('source', 0.6651537418365479)
('New', 0.6640779972076416)
('no', 0.6640019416809082)
('popup', 0.663428783416748)
('inner', 0.66206955909729)
('Java', 0.6590664386749268)
('first', 0.656502902507782)
('field', 0.656493604183197)
('Use', 0.6551294326782227)
use
('in', 0.8410213589668274)
('of', 0.8398115634918213)
('to', 0.8380686044692993)
('for', 0.8323038816452026)
('with', 0.8266041278839111)
('on', 0.8235859870910645)
('not', 0.8163495063781738)
('that', 0.8140318393707275)
('is', 0.8139073848724365)
('when', 0.8057313561439514)
('Add', 0.804195761680603)
('the', 0.8025610446929932)
('from', 0.7982757687568665)
('file', 0.7971822023391724)
('be', 0.7940497994422913)
('and', 0.7907426953315735)
('are', 0.7902919054031372)
('python', 0.7826045751571655)
('line', 0.7817503809928894)
('by', 0.7811225652694702)
('plugin', 0.7806323766708374)
('a', 0.7790220379829407)
('as', 0.7788699865341187)
('Fix', 0.777570366859436)
('dialog', 0.7762519121170044)
('type', 0.7757692337036133)
('name', 0.7746301293373108)
('should', 0.7672392129898071)
('support', 0.7657849788665771)
('context', 0.7653309106826782)
('add', 0.7630718946456909)
('work', 0.757106363773346)
('menu', 0.7569445967674255)
('generated', 0.7565491199493408)
