file
('and', 0.9999250173568726)
('command', 0.999922513961792)
('window', 0.999919056892395)
('with', 0.9999104738235474)
('extensions', 0.9999077320098877)
('when', 0.9998993277549744)
('editor', 0.9998877048492432)
('be', 0.9998695850372314)
('code', 0.9998342394828796)
('terminal', 0.9998340606689453)
('from', 0.9997281432151794)
('can', 0.9996993541717529)
('open', 0.9996651411056519)
('extension', 0.9996402263641357)
('after', 0.9995899200439453)
('show', 0.9995675086975098)
('same', 0.9994942545890808)
('new', 0.9994801878929138)
('search', 0.9994521141052246)
('update', 0.9993762969970703)
('an', 0.9993360042572021)
('if', 0.9992844462394714)
('using', 0.9992509484291077)
('opened', 0.9992454648017883)
('it', 0.9992072582244873)
("doesn't", 0.9991893172264099)
('cell', 0.9991285800933838)
('settings', 0.9990650415420532)
('on', 0.9989903569221497)
('interactive', 0.9989725947380066)
('files', 0.9989475011825562)
('workspace', 0.9989432096481323)
('as', 0.9989340305328369)
('text', 0.9988934397697449)
('The', 0.9988845586776733)
('that', 0.9988797307014465)
('Add', 0.9988570213317871)
('debug', 0.998853862285614)
('context', 0.9988464117050171)
('line', 0.998821496963501)
('working', 0.9987798929214478)
('cursors', 0.9987655878067017)
('notebook', 0.9987640380859375)
('VS', 0.9987636804580688)
('delete', 0.9987548589706421)
('work', 0.9987311959266663)
('Code', 0.9987186193466187)
('to', 0.9987121820449829)
('created', 0.9987063407897949)
('integrated', 0.998691201210022)
('folder', 0.9986827373504639)
('expected', 0.9986306428909302)
('are', 0.998630166053772)
('latest', 0.9986298680305481)
('does', 0.9986132979393005)
('in', 0.9985990524291992)
('focus', 0.9985876083374023)
('menu', 0.9985833168029785)
('change', 0.9985809326171875)
('opening', 0.9985688924789429)
('do', 0.9985582232475281)
('I', 0.9985491037368774)
('trying', 0.9985179305076599)
('for', 0.9984114766120911)
('explorer', 0.9983336925506592)
('different', 0.9982870817184448)
('vscode', 0.9982817769050598)
('loaded', 0.9982677698135376)
('Notebook', 0.9982632398605347)
('location', 0.9982503652572632)
('Terminal', 0.9982399940490723)
('tab', 0.9982383251190186)
('1.48.2', 0.9982070326805115)
('properly', 0.9981950521469116)
('opens', 0.9981948137283325)
('Unable', 0.9981945753097534)
('groups', 0.9981439113616943)
('support', 0.9980541467666626)
('should', 0.9980503916740417)
('prevent', 0.9980288743972778)
('option', 0.9980086088180542)
('current', 0.9979883432388306)
('remote', 0.9979801177978516)
('seem', 0.9979530572891235)
('screenshots', 0.9979337453842163)
('specified', 0.9979194402694702)
('configured', 0.9979102611541748)
("can't", 0.9979000687599182)
('clicks', 0.9978946447372437)
('output', 0.9978860020637512)
('any', 0.9978759288787842)
('pressing', 0.9978752136230469)
('external', 0.9978631138801575)
('multiple', 0.9978238344192505)
('code:', 0.9977949857711792)
('first', 0.9977946877479553)
('toggle', 0.9977852702140808)
('updated', 0.9977833032608032)
('How', 0.9977468848228455)
('no', 0.9977330565452576)
terminal
('when', 0.9999204874038696)
