add
('for', 0.9999558329582214)
('and', 0.9999544620513916)
('when', 0.9999517798423767)
('to', 0.9999507665634155)
('in', 0.9999496936798096)
('Added', 0.9999493956565857)
('all', 0.9999480247497559)
('as', 0.9999479651451111)
('the', 0.9999470710754395)
('with', 0.9999463558197021)
('on', 0.9999461770057678)
('Add', 0.9999459981918335)
('from', 0.9999449253082275)
('if', 0.9999448657035828)
('is', 0.9999418258666992)
('use', 0.9999417066574097)
('Remove', 0.999941349029541)
('git', 0.9999408721923828)
('up', 0.9999406337738037)
('Allow', 0.9999404549598694)
('are', 0.999940037727356)
('terminal', 0.9999383091926575)
('Fixes', 0.9999380707740784)
('Make', 0.9999369382858276)
('-', 0.9999368190765381)
('extension', 0.9999366998672485)
("Don't", 0.9999362826347351)
('after', 0.9999361634254456)
('support', 0.9999361038208008)
('file', 0.999936044216156)
('change', 0.9999358654022217)
('editor', 0.9999351501464844)
('an', 0.999934196472168)
('line', 0.9999340772628784)
('TS', 0.9999334216117859)
('Markdown', 0.9999328851699829)
('API', 0.9999328255653381)
('a', 0.9999327659606934)
('tab', 0.9999321103096008)
('of', 0.9999321103096008)
('files', 0.9999315142631531)
('Support', 0.9999313354492188)
('be', 0.9999312162399292)
('code', 0.9999312162399292)
('by', 0.9999306201934814)
('not', 0.9999305009841919)
('view', 0.9999303817749023)
('Show', 0.999930202960968)
('new', 0.9999293088912964)
('that', 0.9999289512634277)
('widget', 0.9999289512634277)
('should', 0.9999284148216248)
('Fix', 0.9999277591705322)
('message', 0.9999277591705322)
('only', 0.9999276995658875)
('workspace', 0.9999276399612427)
('text', 0.9999274611473083)
('command', 0.999927282333374)
('action', 0.999927282333374)
('empty', 0.9999271631240845)
('update', 0.9999271631240845)
('fix', 0.9999270439147949)
('color', 0.9999269247055054)
('extensions', 0.9999263286590576)
('using', 0.9999262690544128)
('state', 0.9999256730079651)
('search', 0.9999256134033203)
('no', 0.999925434589386)
('configuration', 0.9999251365661621)
('at', 0.9999234676361084)
('show', 0.9999234676361084)
('into', 0.9999228119850159)
('menu', 0.9999228119850159)
('debug', 0.9999225735664368)
('build', 0.9999223947525024)
('service', 0.9999221563339233)
('open', 0.9999217391014099)
('language', 0.9999213814735413)
('input', 0.999920129776001)
('Use', 0.9999199509620667)
('cursor', 0.9999196529388428)
('settings', 0.9999194741249084)
('setting', 0.9999182224273682)
('focus', 0.9999178051948547)
('path', 0.9999174475669861)
('Move', 0.9999173283576965)
('task', 0.9999166131019592)
('Improve', 0.9999161958694458)
('before', 0.9999159574508667)
('telemetry', 0.9999158382415771)
('folder', 0.9999153017997742)
('tests', 0.9999144673347473)
('bar', 0.9999140501022339)
('Fixed', 0.9999138116836548)
('selection', 0.9999135732650757)
('list', 0.9999135732650757)
('(fixes', 0.9999134540557861)
('remove', 0.9999132752418518)
('editors', 0.999913215637207)
('custom', 0.9999120831489563)
use
('with', 0.9999548196792603)
('on', 0.9999545812606812)
('as', 0.9999510049819946)
('for', 0.9999487400054932)
('when', 0.9999485611915588)
('of', 0.9999480247497559)
('if', 0.9999468326568604)
('and', 0.9999465942382812)
('all', 0.9999462366104126)
('Use', 0.9999459385871887)
('in', 0.9999446272850037)
('Add', 0.9999418258666992)
('Fixes', 0.9999417662620544)
('add', 0.9999417066574097)
('are', 0.9999417066574097)
('after', 0.999941349029541)
('Make', 0.999940812587738)
('from', 0.9999402165412903)
('that', 0.9999393820762634)
('not', 0.9999393224716187)
('-', 0.9999391436576843)
('is', 0.9999377727508545)
('extension', 0.9999375939369202)
('the', 0.9999373555183411)
('be', 0.9999370574951172)
('by', 0.9999369382858276)
('to', 0.9999366998672485)
('Added', 0.999936580657959)
("Don't", 0.9999353885650635)
('settings', 0.9999352693557739)
('command', 0.9999352097511292)
('support', 0.9999350309371948)
('at', 0.9999348521232605)
('up', 0.999934732913971)
('should', 0.9999339580535889)
('new', 0.9999338984489441)
('change', 0.9999336004257202)
('editor', 0.9999336004257202)
('Allow', 0.9999330043792725)
('file', 0.9999329447746277)
('tests', 0.9999315142631531)
('line', 0.9999313950538635)
('show', 0.9999313354492188)
('code', 0.9999310374259949)
('git', 0.9999303817749023)
('Fix', 0.9999301433563232)
('a', 0.9999300241470337)
('workspace', 0.9999297261238098)
